klant_id,naam,is_bedrijf,straat,postcode,plaats,email,telefoon,btw_nummer,betaaltermijn_dagen,is_dubieus
34,Wessel Broekhoven-van den Hoek,False,Félinebaan 7,8617 EF,Minnertsga,chrisholthuis@example.com,+31698-478961,,45,False
35,Thijmen van het Heerenveen,False,Tristanhof 5,6661 BU,Klimmen,vajen27@example.org,+31116 152809,,60,False
36,Megan Heyne,False,Norahweg 0,2945 KG,Heveadorp,imkevan-rijnsbergen@example.org,+3158 5149368,,60,False
37,Ruijs BV V.O.F.,True,Laraweg 1,6667KX,Meerlo,liza99@example.org,022 9014767,NL24455022B96,60,False
38,MSD B.V.,True,Keanoring 00,5432SU,Drogteropslagen,van-wallaertleah@example.com,+31(0)26 8388516,NL43815614B97,14,False
39,van Egisheim BV V.O.F.,True,Yasminpad 97,4161 BL,Petten,de-ruiternoortje@example.com,+31352-181883,NL71596966B41,60,False
40,Koninklijke Joosten N.V.,True,Lilystraat 79,2527 EC,Maasvlakte Rotterdam,ella05@example.net,+31477 005411,NL31243292B12,60,False
41,Bacardi Nederland N.V.,True,Tomboulevard 182,9377HN,Gasselternijveenschemond,riley46@example.com,+31905-151864,NL98079359B78,45,False
42,Nadine Kalman,False,Eliseweg 54,5291 JY,Mussel,isabellevan-der-avoirt@example.org,+31(0)85-0542357,,14,False
43,Finn Jacobs-Ketel,False,Mirteboulevard 88,7592JK,Haaksbergen,juulvan-engeland@example.org,+31(0)53-7947383,,14,False
44,Zara van Mil,False,Izestraat 7,7688 KM,Elshout,bradley75@example.net,+3181 4124782,,45,False
45,Bibi Mulders,False,Sofiebaan 0,7853 FX,Hooge Zwaluwe,uphaussofie@example.org,+31220-472779,,45,False
46,Erhout BV N.V.,True,Boazhof 9,9117 BO,Vleuten,juliejdotte@example.com,+31(0)09-5396218,NL43289861B43,30,False
47,Stichting van den Wittenboer ,True,Quintenboulevard 319,9205 VP,Griendtsveen,ovan-orleans@example.org,+31(0)170 430305,NL88880670B65,45,False
48,Leah de Vries,False,Benweg 45,6541BZ,Schiphol,lvisser@example.com,(058)-4161692,,30,False
49,Koninklijke Greij B.V.,True,Kayleepad 64,9165ZV,Geerdijk,janssenmyrthe@example.net,(0021)-355690,NL15447962B75,45,False
50,Olaf van Ham,False,Timboulevard 28,4654 HB,Hantum,yvan-den-broek@example.net,+3144 7394731,,30,False
51,Eelman & van Hemert V.O.F.,True,Louisepad 31,1237XJ,Zandhuizen,vince82@example.net,+31146 786691,NL27155188B44,14,False
52,Uittenbosch & Eelman N.V.,True,Annedreef 225,2584QM,Wijdewormer,guus49@example.net,+31829 922995,NL77852892B26,14,False
53,Boers BV Eenmanszaak,True,Yassinhof 647,7027ED,Hekendorp,evelien25@example.net,+31562-588153,NL09439690B78,45,False
54,Technische Unie V.O.F.,True,Marepad 53,8787TF,Angerlo,de-pauwamina@example.com,(039) 5004797,NL47321046B96,14,False
55,Royal Arens N.V.,True,Chloëlaan 6,2849 IG,Ouwsterhaule,louise58@example.com,+31(0)398 680002,NL16245650B60,14,False
56,Puck van Nus,False,Eveliensteeg 59,5269 LV,Veldhoven,estange@example.org,+3151-6940974,,30,False
57,Carnotte & van Poppel N.V.,True,Mohamedring 63,1897 TI,Voorburg,daphneveltman@example.net,(086)-5278585,NL28962309B13,30,False
58,Royal van Rossum Stichting,True,Philipsteeg 441,5652 CS,Buitenkaag,sienna74@example.net,(033)-8484219,NL33484344B37,60,False
59,Gijs Cammel-van der Horst,False,Bradleyboulevard 5,9120 KA,Surhuizum,wmansveld@example.com,+31401-938026,,30,False
60,Vince Bouwhuisen,False,Johanneslaan 0,6991 SD,Westerhoven,ghulshouts@example.com,0315-274205,,60,False
61,Liz Louws,False,Meikering 51,8122 UP,Aalsmeer,sam37@example.com,+31499-045301,,45,False
62,SABIC Stichting,True,Jansingel 956,2833 HC,Walsoorden,dani91@example.org,(0982) 258713,NL26841459B33,60,False
63,Voortman Steel Group V.O.F.,True,Karlijnbaan 4,1391BW,Borculo,doornhemsophie@example.com,046 2265676,NL87072867B90,14,False
64,Microsoft Stichting,True,Zoeylaan 8,4863 DW,Gaast,jonas10@example.net,+31(0)90-3311907,NL82512868B23,30,False
65,Pieters Groep B.V.,True,Elinestraat 534,5836RD,Winneweer,femkevan-daal@example.net,(005)-6856624,NL06738302B84,14,False
66,Elise van der Maath,False,Myrthehof 270,3688 YP,Klimmen,nielsengels@example.com,+3118-3046990,,14,False
67,Ligtvoet Groep B.V.,True,Jentestraat 363,9467 PW,Marle,rafael87@example.com,+3175 3556093,NL83735403B31,45,False
68,Beijring & Robbrechts Bruijne V.O.F.,True,Charlotteweg 547,3725 IU,Westzaan,ile-marec@example.net,080 1006231,NL89964235B36,45,False
69,Adam Molenaar,False,Bryanstraat 977,7088AB,Wapenveld,bibi40@example.net,+31(0)21-1823398,,30,False
70,Koninklijke Ruijs ,True,Siemring 8,2002 FB,Nederweert-Eind,van-der-flaasselena@example.org,(039) 7401489,NL61567933B41,60,False
71,Lambregt NV N.V.,True,Samdreef 185,2163VM,Paesens,bas47@example.com,(058) 6629619,NL03926142B93,60,False
72,Stichting Eckhardt B.V.,True,Timpad 121,9678GA,Den Dungen,furdaquinn@example.net,+31995 604661,NL14262655B11,60,False
73,van den Hoek & Kramer N.V.,True,Stijnlaan 1,4437 DG,Elburg,aiden65@example.net,+31(0)575-692459,NL62244472B12,60,False
74,Leon Timmermans-Lafleur,False,Meesweg 9,7564XH,Wognum,emilyvan-der-spaendonck@example.org,0737 416724,,14,False
75,Guus Keltenie-van Breukeleveen,False,Tobiasstraat 9,9886 CY,Nunhem,haneberglise@example.org,+3129-0965610,,14,False
76,Rijks BV ,True,Aydensingel 4,6112 TV,Slootdorp,annemijnvan-roijen@example.com,(017)-7514010,NL88899375B67,45,False
77,Mare Haneberg,False,Annabeldreef 25,3736 LO,Schagen,vboeser@example.net,(0796) 603341,,14,False
78,van der Linden BV V.O.F.,True,Elizabethboulevard 579,2499RI,Meijel,passchiersmika@example.org,+31(0)52 8669296,NL55371478B59,60,False
79,Triodos Bank V.O.F.,True,Noapad 7,9368PF,Ransdaal,tvan-beeck-beeckmans@example.com,(021)-9034043,NL78282742B25,45,False
80,Stichting van Klaarwater B.V.,True,Catohof 1,5407WF,Schinnen,pailletjulius@example.net,+3196-2923309,NL97881914B85,60,False
